epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
20,4453.99,0.43937,2.2394,0.19082,0.24152,0.00961,1.54355,0.96707,0.96326,0.98297,0.90475,0.81755,0.73225,0.73856,0.57467,0.42762,2.54537,0.22753,0.23273,0.01782,0,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,4672.52,0.43849,2.2286,0.18772,0.24796,0.00959,1.49409,0.96138,0.96886,0.98,0.90714,0.77891,0.77428,0.75055,0.59887,0.40968,2.41762,0.21918,0.22838,0.01705,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,4891.48,0.43108,2.18906,0.18596,0.24729,0.00947,1.36504,0.96867,0.96268,0.9813,0.91046,0.83531,0.74938,0.77694,0.61647,0.41964,2.35493,0.21855,0.21822,0.01754,0,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,5110.5,0.42434,2.16256,0.18635,0.23784,0.00928,1.30212,0.97218,0.96824,0.98418,0.91834,0.82628,0.76558,0.78197,0.63742,0.3937,2.32422,0.22083,0.21135,0.01632,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,5329.24,0.42458,2.12935,0.18428,0.23797,0.00927,1.29798,0.96571,0.97339,0.98326,0.92143,0.79943,0.78425,0.78055,0.63002,0.38685,2.28218,0.21735,0.21122,0.01603,0,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,5547.85,0.4208,2.12235,0.18289,0.24094,0.00922,1.24686,0.97349,0.96544,0.98425,0.92236,0.80246,0.78176,0.78521,0.64304,0.38678,2.32374,0.21462,0.21688,0.01605,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,5766.54,0.41747,2.1045,0.18247,0.23258,0.00911,1.16337,0.97187,0.96812,0.98313,0.9186,0.83055,0.77213,0.78531,0.63162,0.38821,2.25596,0.21444,0.2179,0.01603,0,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,5985.41,0.41474,2.09411,0.18071,0.23336,0.00903,1.13772,0.96679,0.96971,0.98386,0.92327,0.82508,0.78714,0.80143,0.64857,0.38435,2.22315,0.21243,0.21394,0.01597,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,6203.99,0.41837,2.07523,0.1797,0.23915,0.00913,1.2275,0.96992,0.96357,0.98406,0.92232,0.81454,0.79608,0.80104,0.64112,0.37691,2.21049,0.21114,0.22773,0.01551,0,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,6422.64,0.41986,2.10863,0.17952,0.23294,0.0091,1.19296,0.97412,0.97291,0.98463,0.92586,0.81951,0.79445,0.80491,0.65664,0.36243,2.20466,0.21186,0.2063,0.01491,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
